Latitude,Longitude,DirectNormal,DifuseRadiation,FotoActive,GlobalHorizonta,PlanoInclinado,InsolacaoTotal,PreciptacaoTotal,TempMaxMedia,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,Altitude,Umidade,TempMinimaMedia,PressaoMedia
-9.5005,-40.749,5668,2047,5834,5811,2454,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.5005,-40.649,5582,2060,5787,5766,2439,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.5005,-40.549,5468,2079,5740,5722,2418,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.4005,-40.749,5683,2046,5833,5813,2457,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.4005,-40.649,5652,2038,5809,5790,2450,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.4005,-40.549,5552,2057,5783,5767,2439,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.4005,-40.449,5457,2083,5740,5726,2418,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.4005,-40.349,5574,2049,5770,5752,2430,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.4005,-37.049,4866,2164,5409,5415,2322,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.4005,-36.949,4806,2181,5376,5381,2308,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-40.749,5715,2033,5834,5817,2456,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.3005,-40.649,5694,2030,5820,5804,2455,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.3005,-40.549,5632,2041,5799,5785,2444,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.3005,-40.449,5608,2039,5778,5763,2438,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.3005,-40.349,5498,2062,5733,5718,2416,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.3005,-38.249,5082,2148,5597,5596,2381,245.61591397849466,43.80103626943006,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.2926065966851,22.33311053475936,973.9977232994653
-9.3005,-38.149,4989,2158,5526,5528,2351,237.22620320855617,56.04715025906736,29.51119107291667,3.720392776595744,7.025531157894737,680.6999999999999,76.99311193406594,18.40727882198953,938.2015217499999
-9.3005,-37.149,4881,2147,5415,5422,2322,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-37.049,4786,2179,5363,5370,2295,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-36.949,4917,2160,5421,5427,2320,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-36.849,4853,2164,5399,5405,2311,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-36.749,4849,2163,5397,5403,2312,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-36.649,4692,2171,5325,5338,2289,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-36.549,4456,2210,5218,5231,2251,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.3005,-36.449,4541,2192,5263,5273,2272,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-40.649,5612,2056,5779,5764,2431,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.2005,-40.549,5614,2050,5788,5773,2434,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.2005,-40.449,5474,2069,5720,5705,2407,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.2005,-40.349,5428,2071,5701,5687,2402,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.2005,-40.249,5256,2114,5623,5609,2364,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
